home_team,away_team,date,arena,city,state,game_type
DAL,NOP,2025-02-21,American Airlines Center,Dallas,TX,Regular Season
UTA,OKC,2025-02-21,Delta Center,Salt Lake City,UT,Regular Season
SAC,GSW,2025-02-21,Golden 1 Center,Sacramento,CA,Regular Season
CHI,PHO,2025-02-22,United Center,Chicago,IL,Regular Season
PHI,BRK,2025-02-22,Wells Fargo Center,Philadelphia,PA,Regular Season
DEN,LAL,2025-02-22,Ball Arena,Denver,CO,Regular Season
UTA,HOU,2025-02-22,Delta Center,Salt Lake City,UT,Regular Season
POR,CHO,2025-02-22,Moda Center,Portland,OR,Regular Season
BOS,NYK,2025-02-23,TD Garden,Boston,MA,Regular Season
GSW,DAL,2025-02-23,Chase Center,San Francisco,CA,Regular Season
IND,LAC,2025-02-23,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ATL,DET,2025-02-23,State Farm Arena,Atlanta,GA,Regular Season
ORL,WAS,2025-02-23,Kia Center,Orlando,FL,Regular Season
TOR,PHO,2025-02-23,Scotiabank Arena,Toronto,ON,Regular Season
MIL,MIA,2025-02-23,Fiserv Forum,Milwaukee,WI,Regular Season
NOP,SAS,2025-02-23,Smoothie King Center,New Orleans,LA,Regular Season
CLE,MEM,2025-02-23,Rocket Arena,Cleveland,OH,Regular Season
MIN,OKC,2025-02-23,Target Center,Minneapolis,MN,Regular Season
DET,LAC,2025-02-24,Little Caesars Arena,Detroit,MI,Regular Season
IND,DEN,2025-02-24,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
PHI,CHI,2025-02-24,Wells Fargo Center,Philadelphia,PA,Regular Season
WAS,BRK,2025-02-24,Capital One Arena,Washington,DC,Regular Season
ATL,MIA,2025-02-24,State Farm Arena,Atlanta,GA,Regular Season
OKC,MIN,2025-02-24,Paycom Center,Oklahoma City,OK,Regular Season
UTA,POR,2025-02-24,Delta Center,Salt Lake City,UT,Regular Season
SAC,CHO,2025-02-24,Golden 1 Center,Sacramento,CA,Regular Season
TOR,BOS,2025-02-25,Scotiabank Arena,Toronto,ON,Regular Season
ORL,CLE,2025-02-25,Kia Center,Orlando,FL,Regular Season
HOU,MIL,2025-02-25,Toyota Center,Houston,TX,Regular Season
MEM,PHO,2025-02-25,FedExForum,Memphis,TN,Regular Season
NOP,SAS,2025-02-25,Smoothie King Center,New Orleans,LA,Regular Season
GSW,CHO,2025-02-25,Chase Center,San Francisco,CA,Regular Season
LAL,DAL,2025-02-25,Crypto.com Arena,Los Angeles,CA,Regular Season
DET,BOS,2025-02-26,Little Caesars Arena,Detroit,MI,Regular Season
IND,TOR,2025-02-26,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
NYK,PHI,2025-02-26,Madison Square Garden,New York,NY,Regular Season
WAS,POR,2025-02-26,Capital One Arena,Washington,DC,Regular Season
BRK,OKC,2025-02-26,Barclays Center,Brooklyn,NY,Regular Season
MIA,ATL,2025-02-26,Kaseya Center,Miami,FL,Regular Season
CHI,LAC,2025-02-26,United Center,Chicago,IL,Regular Season
UTA,SAC,2025-02-26,Delta Center,Salt Lake City,UT,Regular Season
HOU,SAS,2025-02-26,Toyota Center,Houston,TX,Regular Season
ORL,GSW,2025-02-27,Kia Center,Orlando,FL,Regular Season
MIL,DEN,2025-02-27,Fiserv Forum,Milwaukee,WI,Regular Season
DAL,CHO,2025-02-27,American Airlines Center,Dallas,TX,Regular Season
PHO,NOP,2025-02-27,PHX Arena,Phoenix,AZ,Regular Season
LAL,MIN,2025-02-27,Crypto.com Arena,Los Angeles,CA,Regular Season
DET,DEN,2025-02-28,Little Caesars Arena,Detroit,MI,Regular Season
ATL,OKC,2025-02-28,State Farm Arena,Atlanta,GA,Regular Season
BOS,CLE,2025-02-28,TD Garden,Boston,MA,Regular Season
BRK,POR,2025-02-28,Barclays Center,Brooklyn,NY,Regular Season
MIA,IND,2025-02-28,Kaseya Center,Miami,FL,Regular Season
CHI,TOR,2025-02-28,United Center,Chicago,IL,Regular Season
MEM,NYK,2025-02-28,FedExForum,Memphis,TN,Regular Season
PHO,NOP,2025-02-28,PHX Arena,Phoenix,AZ,Regular Season
UTA,MIN,2025-02-28,Delta Center,Salt Lake City,UT,Regular Season
LAL,LAC,2025-02-28,Crypto.com Arena,Los Angeles,CA,Regular Season
CHO,WAS,2025-03-01,Spectrum Center,Charlotte,NC,Regular Season
DET,BRK,2025-03-01,Little Caesars Arena,Detroit,MI,Regular Season
HOU,SAC,2025-03-01,Toyota Center,Houston,TX,Regular Season
MEM,SAS,2025-03-01,FedExForum,Memphis,TN,Regular Season
PHI,GSW,2025-03-01,Wells Fargo Center,Philadelphia,PA,Regular Season
DAL,MIL,2025-03-01,American Airlines Center,Dallas,TX,Regular Season
BOS,DEN,2025-03-02,TD Garden,Boston,MA,Regular Season
CLE,POR,2025-03-02,Rocket Arena,Cleveland,OH,Regular Season
IND,CHI,2025-03-02,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
MIA,NYK,2025-03-02,Kaseya Center,Miami,FL,Regular Season
ORL,TOR,2025-03-02,Kia Center,Orlando,FL,Regular Season
SAS,OKC,2025-03-02,Frost Bank Center,San Antonio,TX,Regular Season
UTA,NOP,2025-03-02,Delta Center,Salt Lake City,UT,Regular Season
PHO,MIN,2025-03-02,PHX Arena,Phoenix,AZ,Regular Season
LAL,LAC,2025-03-02,Crypto.com Arena,Los Angeles,CA,Regular Season
CHO,GSW,2025-03-03,Spectrum Center,Charlotte,NC,Regular Season
PHI,POR,2025-03-03,Wells Fargo Center,Philadelphia,PA,Regular Season
MIA,WAS,2025-03-03,Kaseya Center,Miami,FL,Regular Season
MEM,ATL,2025-03-03,FedExForum,Memphis,TN,Regular Season
OKC,HOU,2025-03-03,Paycom Center,Oklahoma City,OK,Regular Season
DAL,SAC,2025-03-03,American Airlines Center,Dallas,TX,Regular Season
UTA,DET,2025-03-03,Delta Center,Salt Lake City,UT,Regular Season
IND,HOU,2025-03-04,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ORL,TOR,2025-03-04,Kia Center,Orlando,FL,Regular Season
ATL,MIL,2025-03-04,State Farm Arena,Atlanta,GA,Regular Season
NYK,GSW,2025-03-04,Madison Square Garden,New York,NY,Regular Season
CHI,CLE,2025-03-04,United Center,Chicago,IL,Regular Season
MIN,PHI,2025-03-04,Target Center,Minneapolis,MN,Regular Season
SAS,BRK,2025-03-04,Frost Bank Center,San Antonio,TX,Regular Season
PHO,LAC,2025-03-04,PHX Arena,Phoenix,AZ,Regular Season
LAL,NOP,2025-03-04,Crypto.com Arena,Los Angeles,CA,Regular Season
BOS,POR,2025-03-05,TD Garden,Boston,MA,Regular Season
CHO,MIN,2025-03-05,Spectrum Center,Charlotte,NC,Regular Season
CLE,MIA,2025-03-05,Rocket Arena,Cleveland,OH,Regular Season
WAS,UTA,2025-03-05,Capital One Arena,Washington,DC,Regular Season
MEM,OKC,2025-03-05,FedExForum,Memphis,TN,Regular Season
DEN,SAC,2025-03-05,Ball Arena,Denver,CO,Regular Season
MIL,DAL,2025-03-05,Fiserv Forum,Milwaukee,WI,Regular Season
LAC,DET,2025-03-05,Intuit Dome,Inglewood,CA,Regular Season
ATL,IND,2025-03-06,State Farm Arena,Atlanta,GA,Regular Season
BOS,PHI,2025-03-06,TD Garden,Boston,MA,Regular Season
BRK,GSW,2025-03-06,Barclays Center,Brooklyn,NY,Regular Season
NOP,HOU,2025-03-06,Smoothie King Center,New Orleans,LA,Regular Season
LAL,NYK,2025-03-06,Crypto.com Arena,Los Angeles,CA,Regular Season
ORL,CHI,2025-03-06,Kia Center,Orlando,FL,Regular Season
CHO,CLE,2025-03-07,Spectrum Center,Charlotte,NC,Regular Season
TOR,UTA,2025-03-07,Scotiabank Arena,Toronto,ON,Regular Season
DAL,MEM,2025-03-07,American Airlines Center,Dallas,TX,Regular Season
MIA,MIN,2025-03-07,Kaseya Center,Miami,FL,Regular Season
OKC,POR,2025-03-07,Paycom Center,Oklahoma City,OK,Regular Season
DEN,PHO,2025-03-07,Ball Arena,Denver,CO,Regular Season
SAC,SAS,2025-03-07,Golden 1 Center,Sacramento,CA,Regular Season
LAC,NYK,2025-03-07,Intuit Dome,Inglewood,CA,Regular Season
CHO,BRK,2025-03-08,Spectrum Center,Charlotte,NC,Regular Season
HOU,NOP,2025-03-08,Toyota Center,Houston,TX,Regular Season
ATL,IND,2025-03-08,State Farm Arena,Atlanta,GA,Regular Season
TOR,WAS,2025-03-08,Scotiabank Arena,Toronto,ON,Regular Season
MIA,CHI,2025-03-08,Kaseya Center,Miami,FL,Regular Season
MIL,ORL,2025-03-08,Fiserv Forum,Milwaukee,WI,Regular Season
BOS,LAL,2025-03-08,TD Garden,Boston,MA,Regular Season
GSW,DET,2025-03-08,Chase Center,San Francisco,CA,Regular Season
OKC,DEN,2025-03-09,Paycom Center,Oklahoma City,OK,Regular Season
DAL,PHO,2025-03-09,American Airlines Center,Dallas,TX,Regular Season
MIL,CLE,2025-03-09,Fiserv Forum,Milwaukee,WI,Regular Season
NOP,MEM,2025-03-09,Smoothie King Center,New Orleans,LA,Regular Season
PHI,UTA,2025-03-09,Wells Fargo Center,Philadelphia,PA,Regular Season
MIN,SAS,2025-03-09,Target Center,Minneapolis,MN,Regular Season
POR,DET,2025-03-09,Moda Center,Portland,OR,Regular Season
LAC,SAC,2025-03-09,Intuit Dome,Inglewood,CA,Regular Season
ATL,PHI,2025-03-10,State Farm Arena,Atlanta,GA,Regular Season
BOS,UTA,2025-03-10,TD Garden,Boston,MA,Regular Season
BRK,LAL,2025-03-10,Barclays Center,Brooklyn,NY,Regular Season
MIA,CHO,2025-03-10,Kaseya Center,Miami,FL,Regular Season
TOR,WAS,2025-03-10,Scotiabank Arena,Toronto,ON,Regular Season
CHI,IND,2025-03-10,United Center,Chicago,IL,Regular Season
HOU,ORL,2025-03-10,Toyota Center,Houston,TX,Regular Season
MEM,PHO,2025-03-10,FedExForum,Memphis,TN,Regular Season
OKC,DEN,2025-03-10,Paycom Center,Oklahoma City,OK,Regular Season
SAS,DAL,2025-03-10,Frost Bank Center,San Antonio,TX,Regular Season
GSW,POR,2025-03-10,Chase Center,San Francisco,CA,Regular Season
SAC,NYK,2025-03-10,Golden 1 Center,Sacramento,CA,Regular Season
CLE,BRK,2025-03-11,Rocket Arena,Cleveland,OH,Regular Season
DET,WAS,2025-03-11,Little Caesars Arena,Detroit,MI,Regular Season
IND,MIL,2025-03-11,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
NOP,LAC,2025-03-11,Smoothie King Center,New Orleans,LA,Regular Season
ATL,CHO,2025-03-12,State Farm Arena,Atlanta,GA,Regular Season
BOS,OKC,2025-03-12,TD Garden,Boston,MA,Regular Season
TOR,PHI,2025-03-12,Scotiabank Arena,Toronto,ON,Regular Season
MIA,LAC,2025-03-12,Kaseya Center,Miami,FL,Regular Season
HOU,PHO,2025-03-12,Toyota Center,Houston,TX,Regular Season
MEM,UTA,2025-03-12,FedExForum,Memphis,TN,Regular Season
SAS,DAL,2025-03-12,Frost Bank Center,San Antonio,TX,Regular Season
DEN,MIN,2025-03-12,Ball Arena,Denver,CO,Regular Season
POR,NYK,2025-03-12,Moda Center,Portland,OR,Regular Season
DET,WAS,2025-03-13,Little Caesars Arena,Detroit,MI,Regular Season
MIL,LAL,2025-03-13,Fiserv Forum,Milwaukee,WI,Regular Season
CHI,BRK,2025-03-13,United Center,Chicago,IL,Regular Season
GSW,SAC,2025-03-13,Chase Center,San Francisco,CA,Regular Season
NOP,ORL,2025-03-13,Smoothie King Center,New Orleans,LA,Regular Season
MIA,BOS,2025-03-14,Kaseya Center,Miami,FL,Regular Season
PHI,IND,2025-03-14,Wells Fargo Center,Philadelphia,PA,Regular Season
ATL,LAC,2025-03-14,State Farm Arena,Atlanta,GA,Regular Season
HOU,DAL,2025-03-14,Toyota Center,Houston,TX,Regular Season
MEM,CLE,2025-03-14,FedExForum,Memphis,TN,Regular Season
MIN,ORL,2025-03-14,Target Center,Minneapolis,MN,Regular Season
SAS,CHO,2025-03-14,Frost Bank Center,San Antonio,TX,Regular Season
DEN,LAL,2025-03-14,Ball Arena,Denver,CO,Regular Season
UTA,TOR,2025-03-14,Delta Center,Salt Lake City,UT,Regular Season
PHO,SAC,2025-03-14,PHX Arena,Phoenix,AZ,Regular Season
BRK,BOS,2025-03-15,Barclays Center,Brooklyn,NY,Regular Season
DET,OKC,2025-03-15,Little Caesars Arena,Detroit,MI,Regular Season
HOU,CHI,2025-03-15,Toyota Center,Houston,TX,Regular Season
MEM,MIA,2025-03-15,FedExForum,Memphis,TN,Regular Season
MIL,IND,2025-03-15,Fiserv Forum,Milwaukee,WI,Regular Season
SAS,NOP,2025-03-15,Frost Bank Center,San Antonio,TX,Regular Season
GSW,NYK,2025-03-15,Chase Center,San Francisco,CA,Regular Season
DEN,WAS,2025-03-15,Ball Arena,Denver,CO,Regular Season
LAC,CHO,2025-03-16,Intuit Dome,Inglewood,CA,Regular Season
DAL,PHI,2025-03-16,American Airlines Center,Dallas,TX,Regular Season
LAL,PHO,2025-03-16,Crypto.com Arena,Los Angeles,CA,Regular Season
BRK,ATL,2025-03-16,Barclays Center,Brooklyn,NY,Regular Season
CLE,ORL,2025-03-16,Rocket Arena,Cleveland,OH,Regular Season
POR,TOR,2025-03-16,Moda Center,Portland,OR,Regular Season
MIN,UTA,2025-03-16,Target Center,Minneapolis,MN,Regular Season
MIL,OKC,2025-03-16,Fiserv Forum,Milwaukee,WI,Regular Season
LAL,SAS,2025-03-17,Crypto.com Arena,Los Angeles,CA,Regular Season
NYK,MIA,2025-03-17,Madison Square Garden,New York,NY,Regular Season
HOU,PHI,2025-03-17,Toyota Center,Houston,TX,Regular Season
MIN,IND,2025-03-17,Target Center,Minneapolis,MN,Regular Season
NOP,DET,2025-03-17,Smoothie King Center,New Orleans,LA,Regular Season
UTA,CHI,2025-03-17,Delta Center,Salt Lake City,UT,Regular Season
GSW,DEN,2025-03-17,Chase Center,San Francisco,CA,Regular Season
PHO,TOR,2025-03-17,PHX Arena,Phoenix,AZ,Regular Season
SAC,MEM,2025-03-17,Golden 1 Center,Sacramento,CA,Regular Season
POR,WAS,2025-03-17,Moda Center,Portland,OR,Regular Season
CHO,ATL,2025-03-18,Spectrum Center,Charlotte,NC,Regular Season
BOS,BRK,2025-03-18,TD Garden,Boston,MA,Regular Season
LAC,CLE,2025-03-18,Intuit Dome,Inglewood,CA,Regular Season
GSW,MIL,2025-03-18,Chase Center,San Francisco,CA,Regular Season
UTA,WAS,2025-03-19,Delta Center,Salt Lake City,UT,Regular Season
IND,DAL,2025-03-19,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ORL,HOU,2025-03-19,Kia Center,Orlando,FL,Regular Season
MIA,DET,2025-03-19,Kaseya Center,Miami,FL,Regular Season
MIN,NOP,2025-03-19,Target Center,Minneapolis,MN,Regular Season
OKC,PHI,2025-03-19,Paycom Center,Oklahoma City,OK,Regular Season
SAS,NYK,2025-03-19,Frost Bank Center,San Antonio,TX,Regular Season
LAL,DEN,2025-03-19,Crypto.com Arena,Los Angeles,CA,Regular Season
PHO,CHI,2025-03-19,PHX Arena,Phoenix,AZ,Regular Season
POR,MEM,2025-03-19,Moda Center,Portland,OR,Regular Season
SAC,CLE,2025-03-19,Golden 1 Center,Sacramento,CA,Regular Season
LAL,MIL,2025-03-20,Crypto.com Arena,Los Angeles,CA,Regular Season
GSW,TOR,2025-03-20,Chase Center,San Francisco,CA,Regular Season
CHO,NYK,2025-03-20,Spectrum Center,Charlotte,NC,Regular Season
IND,BRK,2025-03-20,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
SAC,CHI,2025-03-20,Golden 1 Center,Sacramento,CA,Regular Season
WAS,ORL,2025-03-21,Capital One Arena,Washington,DC,Regular Season
MIA,HOU,2025-03-21,Kaseya Center,Miami,FL,Regular Season
MIN,NOP,2025-03-21,Target Center,Minneapolis,MN,Regular Season
OKC,CHO,2025-03-21,Paycom Center,Oklahoma City,OK,Regular Season
SAS,PHI,2025-03-21,Frost Bank Center,San Antonio,TX,Regular Season
DAL,DET,2025-03-21,American Airlines Center,Dallas,TX,Regular Season
UTA,BOS,2025-03-21,Delta Center,Salt Lake City,UT,Regular Season
PHO,CLE,2025-03-21,PHX Arena,Phoenix,AZ,Regular Season
POR,DEN,2025-03-21,Moda Center,Portland,OR,Regular Season
LAC,MEM,2025-03-21,Intuit Dome,Inglewood,CA,Regular Season
IND,BRK,2025-03-22,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ATL,GSW,2025-03-22,State Farm Arena,Atlanta,GA,Regular Season
NYK,WAS,2025-03-22,Madison Square Garden,New York,NY,Regular Season
SAC,MIL,2025-03-22,Golden 1 Center,Sacramento,CA,Regular Season
LAL,CHI,2025-03-22,Crypto.com Arena,Los Angeles,CA,Regular Season
DET,NOP,2025-03-23,Little Caesars Arena,Detroit,MI,Regular Season
UTA,CLE,2025-03-23,Delta Center,Salt Lake City,UT,Regular Season
ATL,PHI,2025-03-23,State Farm Arena,Atlanta,GA,Regular Season
MIA,CHO,2025-03-23,Kaseya Center,Miami,FL,Regular Season
TOR,SAS,2025-03-23,Scotiabank Arena,Toronto,ON,Regular Season
POR,BOS,2025-03-23,Moda Center,Portland,OR,Regular Season
HOU,DEN,2025-03-23,Toyota Center,Houston,TX,Regular Season
LAC,OKC,2025-03-23,Intuit Dome,Inglewood,CA,Regular Season
IND,MIN,2025-03-24,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ORL,LAL,2025-03-24,Kia Center,Orlando,FL,Regular Season
WAS,TOR,2025-03-24,Capital One Arena,Washington,DC,Regular Season
BRK,DAL,2025-03-24,Barclays Center,Brooklyn,NY,Regular Season
NOP,PHI,2025-03-24,Smoothie King Center,New Orleans,LA,Regular Season
DEN,CHI,2025-03-24,Ball Arena,Denver,CO,Regular Season
PHO,MIL,2025-03-24,PHX Arena,Phoenix,AZ,Regular Season
SAC,BOS,2025-03-24,Golden 1 Center,Sacramento,CA,Regular Season
CHO,ORL,2025-03-25,Spectrum Center,Charlotte,NC,Regular Season
DET,SAS,2025-03-25,Little Caesars Arena,Detroit,MI,Regular Season
MIA,GSW,2025-03-25,Kaseya Center,Miami,FL,Regular Season
NYK,DAL,2025-03-25,Madison Square Garden,New York,NY,Regular Season
HOU,ATL,2025-03-25,Toyota Center,Houston,TX,Regular Season
UTA,MEM,2025-03-25,Delta Center,Salt Lake City,UT,Regular Season
POR,CLE,2025-03-25,Moda Center,Portland,OR,Regular Season
SAC,OKC,2025-03-25,Golden 1 Center,Sacramento,CA,Regular Season
PHI,WAS,2025-03-26,Wells Fargo Center,Philadelphia,PA,Regular Season
BRK,TOR,2025-03-26,Barclays Center,Brooklyn,NY,Regular Season
IND,LAL,2025-03-26,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
NYK,LAC,2025-03-26,Madison Square Garden,New York,NY,Regular Season
DEN,MIL,2025-03-26,Ball Arena,Denver,CO,Regular Season
PHO,BOS,2025-03-26,PHX Arena,Phoenix,AZ,Regular Season
CLE,SAS,2025-03-27,Rocket Arena,Cleveland,OH,Regular Season
ORL,DAL,2025-03-27,Kia Center,Orlando,FL,Regular Season
WAS,IND,2025-03-27,Capital One Arena,Washington,DC,Regular Season
MIA,ATL,2025-03-27,Kaseya Center,Miami,FL,Regular Season
CHI,LAL,2025-03-27,United Center,Chicago,IL,Regular Season
OKC,MEM,2025-03-27,Paycom Center,Oklahoma City,OK,Regular Season
UTA,HOU,2025-03-27,Delta Center,Salt Lake City,UT,Regular Season
SAC,POR,2025-03-27,Golden 1 Center,Sacramento,CA,Regular Season
DET,CLE,2025-03-28,Little Caesars Arena,Detroit,MI,Regular Season
BRK,LAC,2025-03-28,Barclays Center,Brooklyn,NY,Regular Season
TOR,CHO,2025-03-28,Scotiabank Arena,Toronto,ON,Regular Season
MIL,NYK,2025-03-28,Fiserv Forum,Milwaukee,WI,Regular Season
MIN,PHO,2025-03-28,Target Center,Minneapolis,MN,Regular Season
NOP,GSW,2025-03-28,Smoothie King Center,New Orleans,LA,Regular Season
DEN,UTA,2025-03-28,Ball Arena,Denver,CO,Regular Season
ORL,SAC,2025-03-29,Kia Center,Orlando,FL,Regular Season
WAS,BRK,2025-03-29,Capital One Arena,Washington,DC,Regular Season
PHI,MIA,2025-03-29,Wells Fargo Center,Philadelphia,PA,Regular Season
CHI,DAL,2025-03-29,United Center,Chicago,IL,Regular Season
MEM,LAL,2025-03-29,FedExForum,Memphis,TN,Regular Season
OKC,IND,2025-03-29,Paycom Center,Oklahoma City,OK,Regular Season
SAS,BOS,2025-03-29,Frost Bank Center,San Antonio,TX,Regular Season
CLE,LAC,2025-03-30,Rocket Arena,Cleveland,OH,Regular Season
NYK,POR,2025-03-30,Madison Square Garden,New York,NY,Regular Season
MIL,ATL,2025-03-30,Fiserv Forum,Milwaukee,WI,Regular Season
MIN,DET,2025-03-30,Target Center,Minneapolis,MN,Regular Season
NOP,CHO,2025-03-30,Smoothie King Center,New Orleans,LA,Regular Season
SAS,GSW,2025-03-30,Frost Bank Center,San Antonio,TX,Regular Season
PHI,TOR,2025-03-30,Wells Fargo Center,Philadelphia,PA,Regular Season
PHO,HOU,2025-03-30,PHX Arena,Phoenix,AZ,Regular Season
CHO,UTA,2025-03-31,Spectrum Center,Charlotte,NC,Regular Season
IND,SAC,2025-03-31,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ORL,LAC,2025-03-31,Kia Center,Orlando,FL,Regular Season
WAS,MIA,2025-03-31,Capital One Arena,Washington,DC,Regular Season
MEM,BOS,2025-03-31,FedExForum,Memphis,TN,Regular Season
OKC,CHI,2025-03-31,Paycom Center,Oklahoma City,OK,Regular Season
DAL,BRK,2025-03-31,American Airlines Center,Dallas,TX,Regular Season
LAL,HOU,2025-03-31,Crypto.com Arena,Los Angeles,CA,Regular Season
SAS,ORL,2025-04-01,Frost Bank Center,San Antonio,TX,Regular Season
ATL,POR,2025-04-01,State Farm Arena,Atlanta,GA,Regular Season
NYK,PHI,2025-04-01,Madison Square Garden,New York,NY,Regular Season
CHI,TOR,2025-04-01,United Center,Chicago,IL,Regular Season
MEM,GSW,2025-04-01,FedExForum,Memphis,TN,Regular Season
MIL,PHO,2025-04-01,Fiserv Forum,Milwaukee,WI,Regular Season
DEN,MIN,2025-04-01,Ball Arena,Denver,CO,Regular Season
CLE,NYK,2025-04-02,Rocket Arena,Cleveland,OH,Regular Season
IND,CHO,2025-04-02,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
WAS,SAC,2025-04-02,Capital One Arena,Washington,DC,Regular Season
BOS,MIA,2025-04-02,TD Garden,Boston,MA,Regular Season
HOU,UTA,2025-04-02,Toyota Center,Houston,TX,Regular Season
OKC,DET,2025-04-02,Paycom Center,Oklahoma City,OK,Regular Season
DAL,ATL,2025-04-02,American Airlines Center,Dallas,TX,Regular Season
DEN,SAS,2025-04-02,Ball Arena,Denver,CO,Regular Season
LAC,NOP,2025-04-02,Intuit Dome,Inglewood,CA,Regular Season
WAS,ORL,2025-04-03,Capital One Arena,Washington,DC,Regular Season
BRK,MIN,2025-04-03,Barclays Center,Brooklyn,NY,Regular Season
MIA,MEM,2025-04-03,Kaseya Center,Miami,FL,Regular Season
PHI,MIL,2025-04-03,Wells Fargo Center,Philadelphia,PA,Regular Season
TOR,POR,2025-04-03,Scotiabank Arena,Toronto,ON,Regular Season
LAL,GSW,2025-04-03,Crypto.com Arena,Los Angeles,CA,Regular Season
CHO,SAC,2025-04-04,Spectrum Center,Charlotte,NC,Regular Season
IND,UTA,2025-04-04,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
BOS,PHO,2025-04-04,TD Garden,Boston,MA,Regular Season
TOR,DET,2025-04-04,Scotiabank Arena,Toronto,ON,Regular Season
CHI,POR,2025-04-04,United Center,Chicago,IL,Regular Season
HOU,OKC,2025-04-04,Toyota Center,Houston,TX,Regular Season
SAS,CLE,2025-04-04,Frost Bank Center,San Antonio,TX,Regular Season
GSW,DEN,2025-04-04,Chase Center,San Francisco,CA,Regular Season
LAL,NOP,2025-04-04,Crypto.com Arena,Los Angeles,CA,Regular Season
LAC,DAL,2025-04-04,Intuit Dome,Inglewood,CA,Regular Season
ATL,NYK,2025-04-05,State Farm Arena,Atlanta,GA,Regular Season
DET,MEM,2025-04-05,Little Caesars Arena,Detroit,MI,Regular Season
PHI,MIN,2025-04-05,Wells Fargo Center,Philadelphia,PA,Regular Season
MIA,MIL,2025-04-05,Kaseya Center,Miami,FL,Regular Season
LAC,DAL,2025-04-05,Intuit Dome,Inglewood,CA,Regular Season
NOP,MIL,2025-04-06,Smoothie King Center,New Orleans,LA,Regular Season
CHO,CHI,2025-04-06,Spectrum Center,Charlotte,NC,Regular Season
BRK,TOR,2025-04-06,Barclays Center,Brooklyn,NY,Regular Season
OKC,LAL,2025-04-06,Paycom Center,Oklahoma City,OK,Regular Season
ATL,UTA,2025-04-06,State Farm Arena,Atlanta,GA,Regular Season
BOS,WAS,2025-04-06,TD Garden,Boston,MA,Regular Season
CLE,SAC,2025-04-06,Rocket Arena,Cleveland,OH,Regular Season
POR,SAS,2025-04-06,Moda Center,Portland,OR,Regular Season
NYK,PHO,2025-04-06,Madison Square Garden,New York,NY,Regular Season
DEN,IND,2025-04-06,Ball Arena,Denver,CO,Regular Season
GSW,HOU,2025-04-06,Chase Center,San Francisco,CA,Regular Season
DET,SAC,2025-04-07,Little Caesars Arena,Detroit,MI,Regular Season
MIA,PHI,2025-04-07,Kaseya Center,Miami,FL,Regular Season
CHO,MEM,2025-04-08,Spectrum Center,Charlotte,NC,Regular Season
CLE,CHI,2025-04-08,Rocket Arena,Cleveland,OH,Regular Season
IND,WAS,2025-04-08,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ORL,ATL,2025-04-08,Kia Center,Orlando,FL,Regular Season
BRK,NOP,2025-04-08,Barclays Center,Brooklyn,NY,Regular Season
NYK,BOS,2025-04-08,Madison Square Garden,New York,NY,Regular Season
MIL,MIN,2025-04-08,Fiserv Forum,Milwaukee,WI,Regular Season
OKC,LAL,2025-04-08,Paycom Center,Oklahoma City,OK,Regular Season
PHO,GSW,2025-04-08,PHX Arena,Phoenix,AZ,Regular Season
LAC,SAS,2025-04-08,Intuit Dome,Inglewood,CA,Regular Season
ORL,BOS,2025-04-09,Kia Center,Orlando,FL,Regular Season
WAS,PHI,2025-04-09,Capital One Arena,Washington,DC,Regular Season
TOR,CHO,2025-04-09,Scotiabank Arena,Toronto,ON,Regular Season
DAL,LAL,2025-04-09,American Airlines Center,Dallas,TX,Regular Season
CHI,MIA,2025-04-09,United Center,Chicago,IL,Regular Season
UTA,POR,2025-04-09,Delta Center,Salt Lake City,UT,Regular Season
GSW,SAS,2025-04-09,Chase Center,San Francisco,CA,Regular Season
PHO,OKC,2025-04-09,PHX Arena,Phoenix,AZ,Regular Season
SAC,DEN,2025-04-09,Golden 1 Center,Sacramento,CA,Regular Season
LAC,HOU,2025-04-09,Intuit Dome,Inglewood,CA,Regular Season
MIL,NOP,2025-04-10,Fiserv Forum,Milwaukee,WI,Regular Season
DET,NYK,2025-04-10,Little Caesars Arena,Detroit,MI,Regular Season
IND,CLE,2025-04-10,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
BRK,ATL,2025-04-10,Barclays Center,Brooklyn,NY,Regular Season
MEM,MIN,2025-04-10,FedExForum,Memphis,TN,Regular Season
DET,MIL,2025-04-11,Little Caesars Arena,Detroit,MI,Regular Season
IND,ORL,2025-04-11,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
PHI,ATL,2025-04-11,Wells Fargo Center,Philadelphia,PA,Regular Season
