NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,team
23,Tre Mann,PG,6-3,178.0,2001-02-03,US US,3,Florida,WAS
33,Jaylen Sims,SG,6-6,195.0,1998-12-11,US US,R,UNC Wilmington,WAS
14,Matas Buzelis,SF,6-10,209.0,2004-10-13,US US,R,,WAS
15,Julian Phillips,SF,6-8,198.0,2003-11-05,US US,1,Tennessee,WAS
0,Coby White,SG,6-5,195.0,2000-02-16,US US,5,UNC,WAS
9,Nikola Vučević,C,6-10,260.0,1990-10-24,CH CH,13,USC,WAS
25,Dalen Terry,SG,6-7,195.0,2002-07-12,US US,2,Arizona,WAS
3,Josh Giddey,PG,6-8,210.0,2002-10-10,AU AU,3,,WAS
7,Jalen Smith,C,6-10,215.0,2000-03-16,US US,4,Maryland,WAS
44,Patrick Williams,PF,6-7,215.0,2001-08-26,US US,4,Florida State,WAS
22,Talen Horton-Tucker,SG,6-4,234.0,2000-11-25,US US,5,Iowa State,WAS
11,Ayo Dosunmu,SG,6-5,200.0,2000-01-17,US US,3,Illinois,WAS
5,Jevon Carter,PG,6-1,200.0,1995-09-14,US US,6,West Virginia,WAS
2,Lonzo Ball,PG,6-6,190.0,1997-10-27,US US,5,UCLA,WAS
12,Zach Collins,PF,6-11,250.0,1997-11-19,US US,6,Gonzaga,WAS
13,Kevin Huerter,SG,6-7,190.0,1998-08-27,US US,6,Maryland,WAS
30,Tre Jones,PG,6-1,185.0,2000-01-08,US US,4,Duke,WAS
32,E.J. Liddell (TW),PF,6-7,240.0,2000-12-18,US US,1,Ohio State,WAS
17,Jahmir Young (TW),PG,6-2,185.0,2000-10-07,US US,R,"UNC Charlotte, Maryland",WAS
20,Emanuel Miller (TW),PF,6-7,215.0,2000-06-19,CA CA,R,"Texas A&M, TCU",WAS
31,Jarrett Allen,C,6-11,243.0,1998-04-21,US US,7,Texas,WAS
10,Darius Garland,PG,6-1,192.0,2000-01-26,US US,5,Vanderbilt,WAS
45,Donovan Mitchell,SG,6-3,215.0,1996-09-07,US US,7,Louisville,WAS
4,Evan Mobley,PF,6-11,215.0,2001-06-18,US US,3,USC,WAS
5,Sam Merrill,SG,6-4,205.0,1996-05-15,US US,4,Utah State University,WAS
2,Ty Jerome,SG,6-5,195.0,1997-07-08,US US,5,Virginia,WAS
32,Dean Wade,PF,6-9,228.0,1996-11-20,US US,5,Kansas State,WAS
35,Isaac Okoro,SG,6-5,225.0,2001-01-26,US US,4,Auburn,WAS
9,Craig Porter Jr.,PG,6-2,186.0,2000-02-26,US US,1,"Vincennes University, Wichita State",WAS
1,Max Strus,SF,6-5,215.0,1996-03-28,US US,5,"Lewis (IL), DePaul",WAS
24,Jaylon Tyson,SG,6-6,215.0,2002-12-02,US US,R,"Texas, Texas Tech, California",WAS
13,Tristan Thompson,C,6-9,254.0,1991-03-13,CA CA,13,Texas,WAS
12,De'Andre Hunter,SF,6-8,225.0,1997-12-02,US US,5,Virginia,WAS
8,Javonte Green,SG,6-4,205.0,1993-07-23,US US,5,Radford,WAS
33,Luke Travers (TW),SG,6-8,199.0,2001-09-03,AU AU,R,,WAS
21,Emoni Bates (TW),SF,6-10,170.0,2004-01-28,US US,1,"Memphis, Eastern Michigan",WAS
30,Nae'Qwan Tomlin (TW),PF,6-10,205.0,2000-12-10,US US,R,"Monroe Community College, Chipola College, Kansas State, Memphis",WAS
18,Chuma Okeke,PF,6-6,229.0,1998-08-18,US US,4,Auburn,WAS
26,Spencer Dinwiddie,PG,6-5,215.0,1993-04-06,US US,10,Colorado,WAS
31,Klay Thompson,SF,6-5,215.0,1990-02-08,US US,11,Washington State,WAS
13,Naji Marshall,SF,6-7,220.0,1998-01-24,US US,4,Xavier,WAS
25,P.J. Washington,PF,6-7,230.0,1998-08-23,US US,5,Kentucky,WAS
21,Daniel Gafford,C,6-10,234.0,1998-10-01,US US,5,Arkansas,WAS
1,Jaden Hardy,SG,6-4,198.0,2002-07-05,US US,2,,WAS
7,Dwight Powell,C,6-10,240.0,1991-07-20,CA CA,10,Stanford,WAS
8,Olivier-Maxence Prosper,PF,6-8,230.0,2002-07-03,CA CA,1,"Clemson, Marquette",WAS
11,Kyrie Irving,SG,6-2,195.0,1992-03-23,AU AU,13,Duke,WAS
20,Kessler Edwards (TW),SF,6-8,215.0,2000-08-09,US US,3,Pepperdine,WAS
2,Dereck Lively II,C,7-1,230.0,2004-02-12,US US,1,Duke,WAS
10,Brandon Williams,PG,6-1,190.0,1999-11-22,US US,2,Arizona,WAS
