[2025-06-19T14:43:47.753+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-19T14:43:54.773+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-19T14:44:00.568+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-19T14:44:07.511+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-19T14:44:14.451+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-19T14:44:21.541+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-19T14:44:27.198+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-19T14:44:34.097+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-19T14:44:41.101+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-19T14:44:48.268+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-19T14:44:53.951+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-19T14:45:00.873+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-19T14:45:07.734+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-19T14:45:14.824+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-19T14:45:22.332+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-19T14:45:28.064+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-19T14:45:35.126+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-19T14:45:42.423+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-19T14:45:49.262+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-19T14:45:55.152+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-19T14:46:02.020+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-19T14:46:09.078+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-19T14:46:15.928+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-19T14:46:21.757+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-19T14:46:28.567+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-19T14:46:35.508+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-19T14:46:42.702+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between PHI and DET.
[2025-06-19T14:46:48.521+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-19T14:46:55.419+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-19T14:47:02.852+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-19T14:47:09.898+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-19T14:47:16.868+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-19T14:47:22.581+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-19T14:47:29.808+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-19T14:47:36.857+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-19T14:47:43.668+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-19T14:47:46.637+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-19T14:47:53.472+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-19T14:48:00.746+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-19T14:48:07.904+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-19T14:48:14.714+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-19T14:48:20.443+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-19T14:48:27.525+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-19T14:48:34.501+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-19T14:48:41.343+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-19T14:48:43.973+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-19T14:48:50.985+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-19T14:48:58.096+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between CHO and BOS.
[2025-06-19T14:49:05.317+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between PHI and MEM.
[2025-06-19T14:49:12.387+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between TOR and SAC.
[2025-06-19T14:49:18.237+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between HOU and GSW.
[2025-06-19T14:49:25.167+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between MIL and CLE.
[2025-06-19T14:49:32.065+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between SAS and MIN.
[2025-06-19T14:49:39.166+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between WAS and MIA.
[2025-06-19T14:49:45.258+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between DEN and UTA.
