[2025-06-19T12:13:51.374+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-19T12:13:57.066+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-19T12:14:03.948+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-19T12:14:11.102+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-19T12:14:18.304+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-19T12:14:24.101+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-19T12:14:31.032+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-19T12:14:37.955+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-19T12:14:45.173+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-19T12:14:51.264+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-19T12:14:58.116+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-19T12:15:05.038+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-19T12:15:11.950+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-19T12:15:18.995+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-19T12:15:24.661+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-19T12:15:31.529+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-19T12:15:38.688+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-19T12:15:45.814+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-19T12:15:51.456+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-19T12:15:58.526+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-19T12:16:05.896+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-19T12:16:13.045+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-19T12:16:18.672+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-19T12:16:26.073+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-19T12:16:33.343+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-19T12:16:40.371+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-19T12:16:46.110+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between PHI and DET.
[2025-06-19T12:16:53.070+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-19T12:17:00.154+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-19T12:17:07.166+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-19T12:17:13.512+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-19T12:17:19.714+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-19T12:17:26.602+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-19T12:17:33.932+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-19T12:17:41.154+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-19T12:17:46.872+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-19T12:17:54.002+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-19T12:18:00.883+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-19T12:18:08.349+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-19T12:18:11.375+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-19T12:18:18.270+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-19T12:18:25.167+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-19T12:18:32.220+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-19T12:18:39.306+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-19T12:18:44.981+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-19T12:18:51.969+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-19T12:18:59.325+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-19T12:19:06.468+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between CHO and BOS.
[2025-06-19T12:19:12.066+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between PHI and MEM.
[2025-06-19T12:19:18.957+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between TOR and SAC.
