[2025-06-21T13:15:24.547+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between MIN and TOR.
[2025-06-21T13:15:31.236+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-21T13:15:37.862+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-21T13:15:44.642+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-21T13:15:51.661+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-21T13:15:58.393+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-21T13:16:04.976+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-21T13:16:11.694+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-21T13:16:18.332+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-21T13:16:25.242+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-21T13:16:32.039+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-21T13:16:38.654+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-21T13:16:45.673+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-21T13:16:52.268+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-21T13:16:58.905+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-21T13:17:06.145+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-21T13:17:12.753+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-21T13:17:19.424+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-21T13:17:26.076+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-21T13:17:33.094+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-21T13:17:39.954+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-21T13:17:46.618+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-21T13:17:53.240+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-21T13:17:59.891+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-21T13:18:06.886+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-21T13:18:13.740+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-21T13:18:20.475+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-21T13:18:27.289+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between PHI and DET.
[2025-06-21T13:18:33.895+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-21T13:18:40.639+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-21T13:18:47.262+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-21T13:18:54.148+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-21T13:19:00.766+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-21T13:19:07.589+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-21T13:19:14.049+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-21T13:19:21.034+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-21T13:19:27.723+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-21T13:19:34.561+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-21T13:19:41.214+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-21T13:19:48.361+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-21T13:19:55.382+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-21T13:20:01.998+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-21T13:20:08.690+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-21T13:20:15.668+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-21T13:20:22.303+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-21T13:20:29.021+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-21T13:20:35.734+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-21T13:20:42.518+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-21T13:20:49.591+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between CHO and BOS.
[2025-06-21T13:20:56.303+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between PHI and MEM.
[2025-06-21T13:21:02.915+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between TOR and SAC.
[2025-06-21T13:21:09.634+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between HOU and GSW.
[2025-06-21T13:21:16.299+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between MIL and CLE.
[2025-06-21T13:21:23.391+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between SAS and MIN.
[2025-06-21T13:21:29.997+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between WAS and MIA.
[2025-06-21T13:21:36.781+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between DEN and UTA.
[2025-06-21T13:21:43.401+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between PHO and POR.
[2025-06-21T13:21:50.156+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between LAC and OKC.
[2025-06-21T13:21:56.984+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-03 between BRK and DET.
[2025-06-21T13:22:03.828+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-03 between NOP and ATL.
[2025-06-21T13:22:10.788+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-03 between DAL and ORL.
[2025-06-21T13:22:17.625+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between CLE and MIL.
[2025-06-21T13:22:24.622+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between WAS and GSW.
[2025-06-21T13:22:31.287+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between DET and LAL.
[2025-06-21T13:22:38.064+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between ATL and BOS.
[2025-06-21T13:22:44.791+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between BRK and MEM.
[2025-06-21T13:22:51.405+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between MIA and SAC.
[2025-06-21T13:22:58.120+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between CHI and UTA.
[2025-06-21T13:23:04.866+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between HOU and NYK.
[2025-06-21T13:23:11.454+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between MIN and CHO.
[2025-06-21T13:23:18.125+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between OKC and ORL.
[2025-06-21T13:23:25.035+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between NOP and POR.
[2025-06-21T13:23:31.663+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between DAL and IND.
[2025-06-21T13:23:38.400+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between DEN and TOR.
[2025-06-21T13:23:45.029+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between PHO and PHI.
[2025-06-21T13:23:51.818+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between LAC and SAS.
[2025-06-21T13:23:58.661+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between CHO and DET.
[2025-06-21T13:24:05.314+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between IND and ORL.
[2025-06-21T13:24:11.984+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between ATL and NYK.
[2025-06-21T13:24:18.777+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between BOS and GSW.
[2025-06-21T13:24:25.743+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between HOU and SAS.
[2025-06-21T13:24:32.486+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between MEM and LAL.
[2025-06-21T13:24:39.105+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between NOP and CLE.
[2025-06-21T13:24:45.864+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between DAL and CHI.
[2025-06-21T13:24:52.518+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between DEN and OKC.
[2025-06-21T13:24:59.335+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between PHO and MIA.
[2025-06-21T13:25:05.929+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between LAC and PHI.
[2025-06-21T13:25:12.704+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between SAC and TOR.
[2025-06-21T13:25:19.504+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between CHI and MIN.
[2025-06-21T13:25:26.513+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between MIL and UTA.
[2025-06-21T13:25:33.186+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between SAS and POR.
[2025-06-21T13:25:40.096+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between CHO and IND.
[2025-06-21T13:25:46.693+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DET and ATL.
[2025-06-21T13:25:53.446+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between ORL and NOP.
