[2025-06-21T10:41:39.381+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between MIN and TOR.
[2025-06-21T10:41:46.100+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-21T10:41:52.797+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-21T10:41:59.614+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-21T10:42:06.428+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-21T10:42:13.067+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-21T10:42:19.779+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-21T10:42:26.547+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-21T10:42:33.417+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-21T10:42:40.248+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-21T10:42:46.870+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-21T10:42:53.490+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-21T10:43:00.300+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-21T10:43:06.944+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-21T10:43:13.678+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-21T10:43:20.455+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-21T10:43:27.199+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-21T10:43:33.902+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-21T10:43:40.552+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-21T10:43:47.316+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-21T10:43:54.153+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-21T10:44:00.933+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-21T10:44:07.545+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-21T10:44:14.296+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-21T10:44:21.290+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-21T10:44:28.046+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-21T10:44:34.726+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-21T10:44:41.496+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between PHI and DET.
