[2025-06-21T22:46:24.696+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-26 between MIN and TOR.
[2025-06-21T22:46:32.348+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-21T22:46:38.930+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-21T22:46:45.521+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-21T22:46:51.976+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-21T22:46:59.600+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-21T22:47:06.074+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-21T22:47:12.644+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-21T22:47:19.093+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-21T22:47:25.544+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-21T22:47:33.285+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-21T22:47:39.738+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-21T22:47:46.289+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-21T22:47:52.739+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-21T22:48:00.386+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-21T22:48:07.077+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-21T22:48:13.536+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-21T22:48:20.004+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-21T22:48:26.611+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-21T22:48:34.359+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-21T22:48:40.819+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-21T22:48:47.250+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-21T22:48:53.690+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-21T22:49:00.103+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-21T22:49:07.905+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-21T22:49:14.387+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-21T22:49:20.847+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-21T22:49:27.393+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between PHI and DET.
[2025-06-21T22:49:34.998+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-21T22:49:41.417+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-21T22:49:47.865+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-21T22:49:54.525+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-21T22:50:00.993+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-21T22:50:08.961+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-21T22:50:15.546+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-21T22:50:22.110+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-21T22:50:28.646+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-21T22:50:36.269+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-21T22:50:42.888+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-21T22:50:49.480+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-21T22:50:56.052+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-21T22:51:02.489+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-21T22:51:10.148+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-21T22:51:16.737+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-21T22:51:23.189+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-21T22:51:29.788+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-21T22:51:36.363+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-21T22:51:44.139+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-21T22:51:50.633+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between CHO and BOS.
[2025-06-21T22:51:57.393+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between PHI and MEM.
[2025-06-21T22:52:03.890+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between TOR and SAC.
[2025-06-21T22:52:11.740+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between HOU and GSW.
[2025-06-21T22:52:18.191+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between MIL and CLE.
[2025-06-21T22:52:24.775+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between SAS and MIN.
[2025-06-21T22:52:31.367+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between WAS and MIA.
[2025-06-21T22:52:38.112+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-02 between DEN and UTA.
