[2025-06-16T09:55:10.386+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-16T09:55:17.216+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-16T09:55:23.906+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-16T09:55:30.838+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-16T09:55:36.752+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-16T09:55:43.594+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-16T09:55:50.227+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-16T09:55:56.959+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-16T09:56:03.893+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-16T09:56:09.963+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-16T09:56:16.619+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-16T09:56:23.331+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-16T09:56:30.051+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-16T09:56:36.164+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-16T09:56:42.946+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-16T09:56:49.620+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-16T09:56:56.370+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-16T09:57:03.209+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-16T09:57:09.005+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-16T09:57:15.980+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-16T09:57:22.806+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-16T09:57:29.599+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-16T09:57:32.335+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-16T09:57:39.256+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-16T09:57:46.109+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-16T09:57:52.969+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-16T09:57:59.664+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between PHI and DET.
[2025-06-16T09:58:05.476+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-16T09:58:13.764+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-16T09:58:20.890+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-16T09:58:27.692+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-16T09:58:30.626+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-16T09:58:37.315+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-16T09:58:44.198+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-16T09:58:51.289+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-16T09:58:58.073+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-16T09:59:03.908+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-16T09:59:10.776+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-16T09:59:17.673+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-16T09:59:24.425+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-16T09:59:30.213+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-16T09:59:37.565+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-16T09:59:44.253+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-16T09:59:50.997+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-16T09:59:57.925+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-16T10:00:03.672+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-16T10:00:10.672+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-16T10:00:17.805+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-02 between CHO and BOS.
